,newline,play,bpm,volume,sync,seq,pitch,rest,varname,chord,{,->,*,+,++,-,--,>,>>,<,<<,num,(,[,octave,time,},",",),.,],~,EOF,PROG,ELEMSR,ELEM,ELEM2,VAR,NUM2,ELEMS,SEQ,SYNC,PLAY,CHORD,SUBBODY,NOTE,SUBNOTE,OCTAVE,REST,TIME
0,SHIFT 4,SHIFT 5,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,1,,6,7,14,,3,11,10,2,15,,12,,,13,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCEPT,,,,,,,,,,,,,,,,,
2,SHIFT 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 0,,,,,,,,,,,,,,,,,
3,SHIFT 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SHIFT 4,SHIFT 5,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,24,,6,7,14,,3,11,10,2,15,,12,,,13,
5,SHIFT 27,,,,,,,,,,SHIFT 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
6,SHIFT 28,,,,,,,,,,,SHIFT 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,REDUCE 7,,,,,,,,,,,REDUCE 7,SHIFT 30,SHIFT 31,SHIFT 32,SHIFT 33,SHIFT 34,SHIFT 35,SHIFT 36,SHIFT 37,SHIFT 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,SHIFT 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,SHIFT 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,REDUCE 19,,,,,,,,,,,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,REDUCE 20,,,,,,,,,,,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,REDUCE 21,,,,,,,,,,,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,REDUCE 22,,,,,,,,,,,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,REDUCE 23,,,,,,,,,,,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,REDUCE 24,,,,,,,,,,,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SHIFT 43,,,,,,,,,,SHIFT 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,
17,SHIFT 43,,,,,,,,,,SHIFT 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,SHIFT 45,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,SHIFT 46,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,REDUCE 25,,,,,,,,,,,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,REDUCE 25,,,SHIFT 47,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,SHIFT 48,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,50,7,14,,49,11,10,,15,,12,,,13,
23,,SHIFT 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,
24,SHIFT 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 5,,,,,,,,,,,,,,,,,
25,REDUCE 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 33,,,,,,,,,,,,,,,,,
26,SHIFT 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,SHIFT 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,14,,55,11,10,,15,,12,,,13,
29,,,,,,,,,SHIFT 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,SHIFT 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,SHIFT 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,REDUCE 12,,,,,,,,,,,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,REDUCE 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,SHIFT 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,REDUCE 14,,,,,,,,,,,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,REDUCE 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,SHIFT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,REDUCE 16,,,,,,,,,,,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,REDUCE 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,SHIFT 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,REDUCE 18,,,,,,,,,,,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,REDUCE 8,,,,,,,,,,,REDUCE 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,REDUCE 9,,,,,,,,,,,REDUCE 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,REDUCE 32,,,,,,,,,,,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,REDUCE 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SHIFT 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,SHIFT 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,REDUCE 31,,,,,,,,,,,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,SHIFT 68,,,,,,SHIFT 65,,,SHIFT 67,,,,,,,,,,,,,,,,,,,,,,64,66,,
46,,,,,,,,,,,,,,,,,,,,,,SHIFT 70,,,,SHIFT 71,,,,,,,,,,,,,,,,,,,,,,,,69
47,,,,,,,,,,,,,,,,,,,,,,SHIFT 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,SHIFT 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 3,,,,,,,,,,,,,,,,,
50,SHIFT 74,,,,,,,,,,,SHIFT 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SHIFT 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 2,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 4,,,,,,,,,,,,,,,,,
53,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,SHIFT 78,,,,,,,,,6,7,14,,77,11,10,,15,,12,,,13,
54,SHIFT 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,REDUCE 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SHIFT 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,REDUCE 10,,,,,,,,,,,REDUCE 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,REDUCE 11,,,,,,,,,,,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,REDUCE 13,,,,,,,,,,,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,REDUCE 15,,,,,,,,,,,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,REDUCE 17,,,,,,,,,,,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,SHIFT 82,,,,,,,,,6,7,14,,81,11,10,,15,,12,,,13,
63,SHIFT 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,REDUCE 39,,,,,,,,,,,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 84,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 85,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 42,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,SHIFT 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 87,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 45,SHIFT 88,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 46,SHIFT 89,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 90,SHIFT 91,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 92,,,,,,,,,,,,,,,,,,,,,,
74,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,50,7,14,,93,11,10,,15,,12,,,13,
75,,,,,,,,,SHIFT 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,95,50,7,14,,96,11,10,,15,,12,,,13,
77,SHIFT 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,REDUCE 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 36,,,,,,,,,,,,,,,,,
79,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,SHIFT 99,,,,,,,,,6,7,14,,98,11,10,,15,,12,,,13,
80,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,14,,100,11,10,,15,,12,,,13,
81,SHIFT 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,REDUCE 36,,,,,,,,,,,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,SHIFT 103,,,,,,,,,6,7,14,,102,11,10,,15,,12,,,13,
84,,,,,,,,,,,,,,,,,,,,,,SHIFT 70,,,,SHIFT 71,,,,,,,,,,,,,,,,,,,,,,,,104
85,,,,,,,,,,,,,,,,,,,,,,SHIFT 70,,,,SHIFT 71,,,,,,,,,,,,,,,,,,,,,,,,105
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 43,,,,,,,,,,,,,,,,,,,,,,
87,REDUCE 44,,,,,,,,,,,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,REDUCE 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 47,SHIFT 106,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 48,SHIFT 107,,,,,,,,,,,,,,,,,,,,
90,REDUCE 26,,,,,,,,,,,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,SHIFT 109,,,,,,,,,,,,,,,,,108,,,,,,,,,,,
92,,,,,,,,,,,,,,,,SHIFT 68,,,,,,SHIFT 65,,,SHIFT 67,,,,,,,,,,,,,,,,,,,,,,110,66,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 29,,,,,,,,,,,,,,,,,
94,SHIFT 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 1,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 6,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 112,,,,,,,,,,,,,,,,,,,,,,,
98,SHIFT 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,REDUCE 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 38,,,,,,,,,,,,,,,,,
100,REDUCE 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 114,,,,,,,,,,,,,,,,,,,,,,,
102,SHIFT 115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,REDUCE 38,,,,,,,,,,,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,REDUCE 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 116,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 117,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 49,SHIFT 118,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 50,SHIFT 119,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 120,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 28,,,,,,,,,,,,,,,,,,,
110,REDUCE 34,,,,,,,,,,,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,SHIFT 8,SHIFT 9,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,50,7,14,,121,11,10,,15,,12,,,13,
112,REDUCE 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 35,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 122,,,,,,,,,,,,,,,,,,,,,,,
114,REDUCE 35,,,,,,,,,,,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,REDUCE 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 123,,,,,,,,,,,,,,,,,,,,,,,
116,REDUCE 40,,,,,,,,,,,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,REDUCE 41,,,,,,,,,,,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,REDUCE 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 51,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 52,,,,,,,,,,,,,,,,,,,,,
