,play,bpm,volume,sync,seq,pitch,rest,varname,chord,newline,{,->,*,+,++,-,--,>,>>,<,<<,num,(,[,octave,time,},",",),.,],~,EOF,PROG,ELEMSR,ELEM,ELEM2,VAR,NUM2,ELEMS,SEQ,SYNC,PLAY,CHORD,SUBBODY,NOTE,SUBNOTE,OCTAVE,REST,TIME
0,SHIFT 4,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,6,13,,3,10,9,2,14,,11,,,12,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCEPT,,,,,,,,,,,,,,,,,
2,,,,,,,,,,SHIFT 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,SHIFT 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,SHIFT 25,SHIFT 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
5,,,,,,,,,,SHIFT 26,,SHIFT 27,SHIFT 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,REDUCE 5,,REDUCE 5,REDUCE 5,SHIFT 29,SHIFT 30,SHIFT 31,SHIFT 32,SHIFT 33,SHIFT 34,SHIFT 35,SHIFT 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,SHIFT 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,SHIFT 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,REDUCE 18,,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,REDUCE 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,REDUCE 19,,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,REDUCE 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,REDUCE 20,,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,REDUCE 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,REDUCE 21,,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,REDUCE 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
